순번	학번	이름	성별	과정	메모	과목수	1학기 [택4]													1학기 [택1]					2학기 [택8]															
							언어생활 탐구	미적분Ⅱ	심화 영어	동아시아 역사 기행	한국지리 탐구	인문학과 윤리	정치	법과 사회	전자기와 양자	화학 반응의 세계	생물의 유전	행성우주과학	인공지능 기초	교육의 이해	논리와 사고	보건	인간과 심리	인간과 경제활동	문학과 영상	주제 탐구 독서	경제수학	수학과제 탐구	수학과 문화	심화 영어	심화 영어 독해와 작문	세계 문화와 영어	도시의 미래 탐구	인문학과 윤리	역사로 탐구하는 현대 세계	기후변화와 지속가능한 세계	사회문제탐구	융합과학 탐구	기후변화와 환경생태	인공지능 기초
합계						
1	20101	학생1	남	1		13				1				1	1				1			1			1	1		1				1					1	1	1	1
2	20102	학생2	남	1		13	1		1				1		1									1	1	1	1				1	1					1	1	1	
3	20103	학생3	남	1		13				1	1						1	1				1						1		1		1	1		1	1	1		1	
4	20104	학생4	남	1		13				1		1		1		1				1						1		1		1					1	1	1	1	1	
5	20105	학생5	남	1		13				1			1		1				1		1				1			1		1		1	1			1	1	1		
6	20106	학생6	남	1		13	1			1				1			1							1	1			1		1		1			1		1	1	1	
7	20107	학생7	남	1		13		1		1		1							1			1						1	1		1	1			1	1		1		1
8	20108	학생8	남	1		13			1	1						1		1			1				1	1		1		1						1	1		1	1
9	20109	학생9	남	1		13		1		1					1			1						1		1			1	1	1	1			1		1		1	
10	20110	학생10	남	1		13	1					1		1					1			1			1			1					1		1	1	1	1		1
11	20111	학생11	남	1		13			1							1	1	1			1				1	1		1					1	1		1		1	1	
12	20112	학생12	남	1		13			1		1			1	1					1					1	1			1	1				1	1		1		1	
13	20113	학생13	남	1		13		1	1		1		1									1				1	1	1		1					1		1	1	1	
14	20114	학생14	남	1		13				1				1	1			1				1				1				1					1	1	1	1	1	1
15	20115	학생15	남	1		13							1	1				1	1	1					1	1								1		1	1	1	1	1
16	20116	학생16	남	1		13	1		1		1	1											1		1	1			1			1				1		1	1	1
17	20117	학생17	남	1		13			1	1	1		1											1	1	1	1								1	1	1	1		1
18	20118	학생18	남	1		13			1			1				1	1			1					1	1		1		1					1		1		1	1
19	20119	학생19	남	1		13					1	1					1	1		1						1		1	1	1						1	1		1	1
20	20120	학생20	남	1		13							1	1	1		1			1							1	1	1	1						1	1		1	1
21	20121	학생21	남	1		13	1		1		1					1							1			1	1			1		1			1	1	1		1	
22	20122	학생22	남	1		13		1					1				1	1						1		1		1		1				1	1	1	1			1
23	20123	학생23	남	1		13	1					1		1	1					1					1	1		1							1	1	1		1	1
24	20124	학생24	남	1		13		1			1					1			1	1								1				1		1	1		1	1	1	1
25	20201	학생25	남	1		13		1			1						1		1					1				1		1		1			1	1	1		1	1
26	20202	학생26	남	1		13		1			1	1						1		1					1				1	1			1			1	1	1		1
27	20203	학생27	남	1		13				1	1		1		1									1	1	1	1	1		1		1					1	1		
28	20204	학생28	남	1		13									1	1		1	1		1				1			1	1	1		1					1	1		1
29	20205	학생29	남	1		13					1			1		1		1					1		1	1				1		1	1			1		1		1
30	20206	학생30	남	1		13		1				1	1	1						1						1		1	1	1						1		1	1	1
31	20207	학생31	남	1		13	1				1			1	1							1			1		1			1		1	1		1	1		1		
32	20208	학생32	남	1		13			1		1					1		1					1			1	1			1					1	1	1	1		1
33	20209	학생33	남	1		13	1			1	1				1								1						1		1	1	1			1	1		1	1
34	20210	학생34	남	1		13	1		1			1				1							1		1				1	1		1					1	1	1	1
35	20211	학생35	남	1		13				1		1		1		1					1				1	1		1		1		1	1		1		1			
36	20212	학생36	남	1		13				1		1				1			1				1		1	1		1					1		1	1	1		1	
37	20213	학생37	남	1		13					1		1		1		1					1				1	1	1							1	1	1	1	1	
38	20214	학생38	남	1		13	1			1	1					1					1				1			1				1	1		1	1	1	1		
39	20215	학생39	남	1		13						1	1		1		1			1						1			1			1	1			1	1		1	1
40	20216	학생40	남	1		13	1					1				1		1						1	1	1						1	1		1		1		1	1
41	20217	학생41	남	1		13			1					1				1	1					1		1		1				1				1	1	1	1	1
42	20218	학생42	남	1		13		1	1			1			1					1						1	1		1	1	1							1	1	1
43	20219	학생43	남	1		13					1			1	1	1								1	1	1	1	1		1					1				1	1
44	20220	학생44	남	1		13				1	1						1	1					1			1	1	1					1			1		1	1	1
45	20221	학생45	남	1		13	1			1	1					1								1		1		1	1							1	1	1	1	1
46	20222	학생46	남	1		13		1			1		1					1		1					1			1		1			1	1		1	1	1		
47	20223	학생47	남	1		13	1			1	1					1				1					1			1				1			1	1		1	1	1
48	20224	학생48	남	1		13		1			1						1	1						1		1		1							1	1	1	1	1	1
49	20301	학생49	남	1		13			1					1	1	1							1			1			1			1	1			1	1	1		1
50	20302	학생50	남	1		13			1			1	1				1					1						1		1		1	1		1	1		1		1
51	20303	학생51	남	1		13				1					1	1	1							1				1	1				1	1	1			1	1	1
52	20304	학생52	남	1		13			1	1		1		1										1		1				1		1	1		1	1			1	1
53	20305	학생53	남	1		13	1						1				1	1					1			1					1	1			1		1	1	1	1
54	20306	학생54	남	1		13			1			1		1		1				1						1				1	1			1		1	1	1		1
55	20307	학생55	남	1		13		1	1		1			1						1					1	1	1	1				1				1		1	1	
56	20308	학생56	남	1		13		1					1		1	1								1			1				1	1			1		1	1	1	1
57	20309	학생57	남	1		13							1		1			1	1	1						1				1				1		1	1	1	1	1
58	20310	학생58	남	1		13					1		1	1			1					1				1			1			1			1	1	1		1	1
59	20311	학생59	남	1		13	1			1		1							1			1			1	1		1							1	1		1	1	1
60	20312	학생60	남	1		13		1	1				1	1						1					1	1				1	1				1	1	1			1
61	20313	학생61	남	1		13	1					1						1	1	1					1		1	1				1	1			1	1	1		
62	20314	학생62	남	1		13					1		1			1			1			1				1		1	1					1	1	1		1		1
63	20315	학생63	남	1		13	1		1	1		1											1		1			1		1		1	1		1			1	1	
64	20316	학생64	남	1		13					1		1		1		1			1					1			1		1		1				1	1	1	1	
65	20317	학생65	남	1		13			1		1	1		1							1					1	1	1		1					1	1		1		1
66	20318	학생66	남	1		13	1		1		1						1						1			1		1	1	1			1		1	1		1		
67	20319	학생67	남	1		13				1		1		1			1						1		1	1				1		1	1					1	1	1
68	20320	학생68	남	1		13			1				1			1			1			1			1	1		1		1					1	1		1	1	
69	20321	학생69	남	1		13	1					1	1						1			1			1				1			1	1				1	1	1	1
70	20322	학생70	남	1		13	1		1						1	1								1				1	1						1	1	1	1	1	1
71	20323	학생71	남	1		13	1		1						1	1				1								1	1				1			1	1	1	1	1
72	20324	학생72	남	1		13				1	1				1				1					1	1				1	1		1	1		1		1			1
73	20401	학생73	남	1		13			1			1	1			1						1			1			1	1			1				1	1	1		1
74	20402	학생74	남	1		13		1	1		1					1								1	1			1		1						1	1	1	1	1
75	20403	학생75	남	1		13				1	1		1				1						1		1	1				1					1	1	1	1		1
76	20404	학생76	남	1		13	1				1		1					1					1		1	1		1		1		1				1	1		1	
77	20405	학생77	남	1		13						1		1				1	1	1					1			1			1					1	1	1	1	1
78	20406	학생78	남	1		13					1			1		1	1					1			1	1		1		1		1					1		1	1
79	20407	학생79	남	1		13						1			1	1	1				1					1		1		1			1		1		1	1	1	
80	20408	학생80	남	1		13		1							1			1	1	1					1		1	1	1	1					1				1	1
81	20409	학생81	남	1		13				1		1			1			1				1			1				1			1	1		1	1	1	1		
82	20410	학생82	남	1		13		1			1		1						1		1				1	1		1		1			1		1			1		1
83	20411	학생83	남	1		13		1	1							1			1				1			1		1		1			1		1	1	1		1	
84	20412	학생84	남	1		13				1			1	1		1						1					1	1			1				1	1	1		1	1
85	20413	학생85	남	1		13	1								1	1		1					1			1		1					1		1		1	1	1	1
86	20414	학생86	남	1		13		1		1	1				1					1						1			1		1	1				1	1		1	1
87	20415	학생87	남	1		13			1				1		1			1						1	1	1						1			1	1	1	1	1	
88	20416	학생88	남	1		13					1		1		1	1						1			1	1		1				1	1		1			1		1
89	20417	학생89	남	1		13						1	1	1		1							1					1	1	1		1				1	1		1	1
90	20418	학생90	남	1		13		1	1								1	1		1							1	1						1	1	1	1	1	1	
91	20419	학생91	남	1		13	1						1				1	1					1								1		1	1	1	1	1	1	1	
92	20420	학생92	남	1		13	1			1					1			1				1			1	1		1				1	1				1		1	1
93	20421	학생93	남	1		13	1	1								1			1					1	1	1	1	1	1						1		1			1
94	20422	학생94	남	1		13		1	1			1	1								1					1		1	1				1	1	1		1	1		
95	20423	학생95	남	1		13	1		1				1	1										1		1		1		1					1	1	1	1	1	
96	20424	학생96	남	1		13		1		1	1						1						1				1			1		1	1	1	1	1	1			
97	20501	학생97	남	1		13	1					1					1	1						1				1	1	1			1		1	1		1	1	
